string,log_prob,count
"fand(fand(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),fcircle())),difftexture(d))",-8.030084094267561,32
"fdisj(istexture(obj_2(d),fcheckered()),istexture(obj_2(d),fdots()))",-8.030084094267561,32
"fdisj(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),fcircle()))",-8.030084094267561,32
"fdisj(istexture(obj_2(d),fstripes()),istexture(obj_1(d),fdots()))",-8.030084094267561,32
"fand(sameshape(d),pairtexture(d,fplain(),fstripes()))",-8.030084094267561,32
"fand(sameshape(d),fand(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fstripes())))",-8.030084094267561,32
"fdisj(isshape(obj_2(d),ftriangle()),isshape(obj_1(d),fsquare()))",-8.030084094267561,32
"fdisj(istexture(obj_2(d),fstripes()),istexture(obj_2(d),fplain()))",-8.030084094267561,32
"fand(sameshape(d),pairtexture(d,fplain(),fcheckered()))",-8.030084094267561,31
"fand(sameshape(d),pairtexture(d,fstripes(),fplain()))",-8.030084094267561,31
"fdisj(isshape(obj_1(d),ftriangle()),isshape(obj_1(d),fcircle()))",-8.030084094267561,31
"fdisj(istexture(obj_1(d),fcheckered()),istexture(obj_1(d),fstripes()))",-8.030084094267561,31
"fdisj(istexture(obj_2(d),fdots()),istexture(obj_2(d),fstripes()))",-8.030084094267561,31
"fdisj(istexture(obj_2(d),fplain()),istexture(obj_1(d),fdots()))",-8.030084094267561,31
"fand(sameshape(d),fand(istexture(obj_1(d),fstripes()),istexture(obj_2(d),fdots())))",-8.030084094267561,31
"fdisj(isshape(obj_2(d),fsquare()),isshape(obj_2(d),fsquare()))",-8.030084094267561,31
"fand(diffshape(d),fand(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fstripes())))",-8.030084094267561,31
"fdisj(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),fsquare()))",-8.030084094267561,31
"fand(pairshape(d,ftriangle(),fcircle()),difftexture(d))",-8.030084094267561,31
"fand(pairshape(d,ftriangle(),ftriangle()),sametexture(d))",-8.030084094267561,31
"fand(sameshape(d),fand(istexture(obj_1(d),fstripes()),istexture(obj_2(d),fstripes())))",-8.030084094267561,31
"fand(diffshape(d),pairtexture(d,fdots(),fdots()))",-8.030084094267561,31
"fand(fand(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),fsquare())),sametexture(d))",-8.030084094267561,31
"fdisj(istexture(obj_2(d),fdots()),istexture(obj_2(d),fdots()))",-8.030084094267561,31
"fand(fand(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),fcircle())),sametexture(d))",-8.030084094267561,31
"fdisj(istexture(obj_2(d),fcheckered()),istexture(obj_1(d),fcheckered()))",-8.030084094267561,31
"fand(pairshape(d,fcircle(),fsquare()),difftexture(d))",-8.030084094267561,31
"fdisj(istexture(obj_2(d),fplain()),istexture(obj_1(d),fcheckered()))",-8.030084094267561,31
"fand(pairshape(d,fdiamond(),fcircle()),sametexture(d))",-8.030084094267561,31
"fand(fand(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),fcircle())),sametexture(d))",-8.030084094267561,31
"fdisj(isshape(obj_2(d),fsquare()),isshape(obj_1(d),fcircle()))",-8.030084094267561,31
"fdisj(istexture(obj_2(d),fplain()),istexture(obj_2(d),fplain()))",-8.030084094267561,30
"fand(sameshape(d),pairtexture(d,fcheckered(),fcheckered()))",-8.030084094267561,30
"fand(sameshape(d),pairtexture(d,fdots(),fcheckered()))",-8.030084094267561,30
"fand(diffshape(d),fand(istexture(obj_1(d),fdots()),istexture(obj_2(d),fstripes())))",-8.030084094267561,30
"fdisj(istexture(obj_1(d),fplain()),istexture(obj_2(d),fstripes()))",-8.030084094267561,30
"fand(pairshape(d,fdiamond(),ftriangle()),sametexture(d))",-8.030084094267561,30
"fand(sameshape(d),fand(istexture(obj_1(d),fplain()),istexture(obj_2(d),fdots())))",-8.030084094267561,30
"fand(sameshape(d),pairtexture(d,fplain(),fplain()))",-8.030084094267561,30
"fand(diffshape(d),pairtexture(d,fplain(),fstripes()))",-8.030084094267561,30
"fand(pairshape(d,fcircle(),fcircle()),difftexture(d))",-8.030084094267561,30
"fdisj(istexture(obj_2(d),fdots()),istexture(obj_1(d),fplain()))",-8.030084094267561,30
"fdisj(isshape(obj_1(d),fcircle()),isshape(obj_2(d),ftriangle()))",-8.030084094267561,30
"fdisj(isshape(obj_2(d),fdiamond()),isshape(obj_1(d),fdiamond()))",-8.030084094267561,30
"fdisj(isshape(obj_1(d),fcircle()),isshape(obj_2(d),fdiamond()))",-8.030084094267561,30
"fand(fand(isshape(obj_1(d),fsquare()),isshape(obj_2(d),fcircle())),difftexture(d))",-8.030084094267561,30
"fand(fand(isshape(obj_1(d),fcircle()),isshape(obj_2(d),fsquare())),sametexture(d))",-8.030084094267561,30
