condition,action,log_cum_rewards_mean,highest_levels_mean,epi_probs_mean,recover_rate_mean,n,log_cum_rewards_ci_lo,log_cum_rewards_ci_hi,highest_levels_ci_lo,highest_levels_ci_hi,epi_probs_ci_lo,epi_probs_ci_hi,recover_rate_ci_lo,recover_rate_ci_hi
hard,26,11.516765142861143,4.99,0.4809583333333333,0.547125,100,11.283092348251676,11.75043793747061,4.970400000000001,5.0096,0.47406059412800083,0.4878560725386658,0.5401337052305519,0.554116294769448
hard,27,11.530802454852681,4.99,0.4769166666666667,0.5489166666666666,100,11.29635257107608,11.765252338629283,4.970400000000001,5.0096,0.4704056234619324,0.48342770987140105,0.5424604854264512,0.555372847906882
hard,28,11.558598706485448,5.0,0.47375,0.5549166666666667,100,11.322703256327731,11.794494156643164,5.0,5.0,0.4681464044231003,0.4793535955768997,0.5486342015443227,0.5611991317890107
hard,29,11.694578250667478,5.0,0.47741666666666666,0.5475833333333333,100,11.634781386035943,11.754375115299013,5.0,5.0,0.4718122536327669,0.4830210797005664,0.5416360069385748,0.5535306597280918
hard,30,11.701710730488749,5.0,0.4699583333333333,0.5562916666666667,100,11.641211235005507,11.762210225971991,5.0,5.0,0.46371900021594653,0.4761976664507201,0.5502373351737571,0.5623459981595764
hard,31,11.729565853588854,5.0,0.4708333333333334,0.5566666666666666,100,11.666533148196208,11.7925985589815,5.0,5.0,0.46390077097332383,0.47776589569334293,0.5507673129955113,0.562566020337822
hard,32,11.750327633667103,5.0,0.4741666666666666,0.55825,100,11.685755535068797,11.81489973226541,5.0,5.0,0.469599701403259,0.47873363193007423,0.5529791039123524,0.5635208960876477
hard,33,11.757285093705057,5.0,0.474,0.5585,100,11.692275480533432,11.822294706876683,5.0,5.0,0.46739169946849396,0.480608300531506,0.5528971017600827,0.5641028982399173
hard,34,11.798804811396208,5.0,0.47070833333333334,0.5627916666666667,100,11.731764637997927,11.865844984794489,5.0,5.0,0.46403981824656915,0.47737684842009753,0.5569875734019836,0.5685957599313498
hard,35,11.847181234474872,5.0,0.473125,0.567875,100,11.779028602436718,11.915333866513027,5.0,5.0,0.46682326802395824,0.4794267319760418,0.5624314279739386,0.5733185720260614
