condition,action,log_cum_rewards_mean,highest_levels_mean,epi_probs_mean,recover_rate_mean,n,log_cum_rewards_ci_lo,log_cum_rewards_ci_hi,highest_levels_ci_lo,highest_levels_ci_hi,epi_probs_ci_lo,epi_probs_ci_hi,recover_rate_ci_lo,recover_rate_ci_hi
simple,2,0.3837641826656743,0.9833333333333333,0.2503472222222222,0.7045138888888889,60,0.16479676022573259,0.602731605105616,0.7575320774548311,1.2091345892118355,0.19216421153924548,0.308530232905199,0.6579028179074558,0.751124959870322
simple,3,0.6271636481529683,1.45,0.17743055555555556,0.8192361111111112,60,0.367443493179901,0.8868838031260357,1.1612138397919947,1.7387861602080052,0.14488274575258592,0.2099783653585252,0.7776361745098352,0.8608360477123871
simple,4,1.1660220066019693,1.9833333333333334,0.18673611111111113,0.8353472222222221,60,0.7728061703996578,1.5592378428042808,1.624,2.3426666666666667,0.14507037618901164,0.22840184603321062,0.7920420471228157,0.8786523973216286
simple,5,2.6376326936953456,2.4166666666666665,0.18166666666666667,0.8538888888888889,60,1.7781012846479671,3.4971641027427243,2.0431183528576904,2.7902149804756426,0.14953310711100098,0.21380022622233236,0.8133733698897987,0.8944044078879791
simple,6,3.6301498409286403,2.816666666666667,0.2013888888888889,0.8423611111111111,60,2.638174536500166,4.622125145357114,2.4283054955299215,3.2050278378034123,0.16125517744962709,0.2415226003281507,0.7976754556681783,0.8870467665540439
simple,7,4.7011379970448415,3.25,0.19458333333333336,0.9109722222222222,60,3.6253525327675584,5.7769234613221245,2.8668903624936037,3.6331096375063963,0.1776437897396415,0.2115228769270252,0.8742635316220582,0.9476809128223862
simple,8,5.872107064600737,3.566666666666667,0.19506944444444446,0.8872916666666666,60,4.7599884526285186,6.984225676572955,3.1842894852721386,3.949043848061195,0.1670345034364707,0.22310438545241823,0.8470366678299974,0.9275466655033358
simple,9,6.8768413530712,3.85,0.20159722222222223,0.9361805555555556,60,5.779901797285524,7.973780908856876,3.47780987180552,4.22219012819448,0.1770004501950491,0.22619399424939537,0.9022429659404451,0.9701181451706661
simple,10,8.137164565142234,4.083333333333333,0.199375,0.9378472222222223,60,7.1295396138518825,9.144789516432585,3.7400631948894696,4.426603471777197,0.17156587348269695,0.22718412651730305,0.9035458536316143,0.9721485908128302
simple,11,8.976592211875255,4.283333333333333,0.20402777777777778,0.9484722222222222,60,8.053596655752818,9.899587767997692,3.9775131924519025,4.589153474214764,0.18704528339061663,0.22101027216493893,0.9168333490077071,0.9801110954367372
simple,12,9.401282759768401,4.433333333333334,0.18937500000000002,0.9606250000000001,60,8.508556480582968,10.294009038953835,4.148551935688676,4.718114730977991,0.17681678313561472,0.2019332168643853,0.9363076041457339,0.9849423958542662
simple,13,9.960247122306152,4.55,0.19861111111111113,0.9469444444444445,60,9.199569039933786,10.720925204678517,4.276657971751909,4.82334202824809,0.18486776102900274,0.21235446119321952,0.9153712013776188,0.9785176875112701
simple,14,10.68290130841464,4.583333333333333,0.18805555555555556,0.9630555555555556,60,10.086429672765247,11.279372944064034,4.3311934893149395,4.8354731773517265,0.1767477068220562,0.1993634042890549,0.9414246501603784,0.9846864609507328
simple,15,10.743788854088434,4.633333333333334,0.19750000000000004,0.9819444444444444,60,10.14310093158573,11.344476776591138,4.410069477035028,4.856597189631639,0.19018211136758637,0.2048178886324137,0.9635981330532837,1.0002907558356051
simple,16,10.841530709112636,4.716666666666667,0.19555555555555557,0.9888888888888889,60,10.23289279460714,11.450168623618131,4.529783600010973,4.903549733322361,0.18783509632773573,0.2032760147833754,0.9753582984358469,1.002419479341931
simple,17,11.055071331144793,4.8,0.19868055555555558,0.9840972222222223,60,10.496972545694126,11.61317011659546,4.639966670138166,4.960033329861834,0.19356869710133007,0.2037924140097811,0.9680108813582234,1.0001835630862213
simple,18,11.319622574558707,4.866666666666666,0.2,0.98,60,10.839503983589644,11.79974116552777,4.715945712495173,5.01738762083816,0.18972842096635972,0.2102715790336403,0.9596959471110751,1.0003040528889249
simple,19,11.708997232521329,4.883333333333334,0.19861111111111113,0.9963888888888889,60,11.387005892057559,12.030988572985098,4.742860872540997,5.02380579412567,0.1958888888888889,0.20133333333333336,0.9893111111111111,1.0034666666666667
simple,20,11.79309224454701,4.95,0.2016666666666667,0.9866666666666667,60,11.466125836394273,12.120058652699747,4.852,5.048,0.1976545475493328,0.2056787857840006,0.9717756602680686,1.0015576730652647
